title,summary,link,published
ขยะไทยก็เอาไม่อยู่: จะนำเข้าขยะต่างประเทศเข้ามาอีก?,ขยะไทยก็เอาไม่อยู่: จะนำเข้าขยะต่างประเทศเข้ามาอีก?,https://thaipublica.org/2021/09/weerasak-kowsurat15/,28_09_2021
ขยะพลาสติกไทยแยะแล้ว: ขยะพลาสติกนอกยิ่งน่ากังวล (ตอนที่2),ขยะพลาสติกไทยแยะแล้ว: ขยะพลาสติกนอกยิ่งน่ากังวล (ตอนที่2),https://thaipublica.org/2021/09/weerasak-kowsurat16/,28_09_2021
กรุงไทย-แอกซ่า ประกันชีวิต เปิดตัวแอปใหม่ “Emma by AXA” ยกระดับเข้าถึงบริการสุขภาพ,กรุงไทย-แอกซ่า ประกันชีวิต เปิดตัวแอปพลิเคชันใหม่ “Emma by AXA” ยกระดับการเข้าถึงบริการด้านสุขภาพ เพื่อประสบการณ์ที่เหนือกว่า แบบครบวงจร,https://thaipublica.org/2021/09/krungthaiaxa-emma-by-axa/,28_09_2021
สินเชื่อใหม่ Krungsri iFIN  “โหลด อัป รับ ฟิน” ไม่ต้องเป็นลูกค้ากรุงศรีก็สมัครได้ อนุมัติออนไลน์ในวันเดียว,กรุงศรี ตอกย้ำความเป็นผู้นำ Digital Lending เผยโฉมใหม่สินเชื่อ Krungsri iFIN ด้วยแนวคิด “โหลด อัป รับ ฟิน” ไม่ต้องเป็นลูกค้ากรุงศรีก็สมัครได้ พร้อมทราบผลอนุมัติออนไลน์ได้ภายในวันเดียว,https://thaipublica.org/2021/09/krungsri-ifin-digital-lending-pr-28-09-2564/,28_09_2021
ขยะไทยล้น นำเข้ายิ่งสำลัก (ตอนที่ 3),ขยะไทยล้น นำเข้ายิ่งสำลัก ...กรมโรงงานอุตสาหกรรมก็แจ้งว่า มีปริมาณความต้องการนำเข้าเศษพลาสติกเพิ่มขึ้นอีก จากโรงงาน 46 แห่ง ซึ่งมีกำลังผลิตรวมกัน 5 แสนตันเศษ แต่กำลังต้องการนำเข้าเป็นปริมาณ 6 แสน 8 หมื่นตันต่อปี,https://thaipublica.org/2021/09/weerasak-kowsurat17/,28_09_2021
ไทยพาณิชย์ เปิดบริการใหม่เพื่อผู้พิการทางสายตาถอนเงินผ่านตู้ATM SCB,ไทยพาณิชย์ เปิดตัวบริการใหม่เพื่อผู้พิการทางสายตาสามารถถอนเงินผ่านตู้ATM SCB มุ่งเน้นเพื่อผู้มีปัญหาในการมองเห็นสามารถเข้าถึงบริการทางการเงินได้สะดวกขึ้น,https://thaipublica.org/2021/09/visually-impaired-people-withdraw-money-through-atms-scb/,28_09_2021
"บีบีจีไอฯ รุกตลาดผู้บริโภคด้วยแบรนด์ B Nature+  ชูแนวคิด “ปลอดภัย ไร้โรค” Stay Safe, Stay Healthy","บีบีจีไอฯ รุกตลาดผู้บริโภคด้วยแบรนด์ B Nature+ ชูแนวคิด “ปลอดภัย ไร้โรค” Stay Safe, Stay Healthy ประเดิมด้วยผลิตภัณฑ์เสริมอาหาร แอสต้า-อิมมู และแอลกอฮอล์ล้างมือมาตรฐานเภสัชกรรม",https://thaipublica.org/2021/09/bbgi-enters-consumer-market-with-b-nature/,28_09_2021
CPAC ยกระดับก่อสร้างไทย ตั้งเป้าใช้ยานยนต์ไฟฟ้าครบปี’78  มุ่งลด PM 2.5 ใช้พลังงานสะอาด,CPAC ยกระดับก่อสร้างไทย ตั้งเป้าเปลี่ยนใช้ยานยนต์ไฟฟ้าครบในปี 2578 มุ่งลด PM 2.5 ใช้พลังงานสะอาด รักษาสิ่งแวดล้อมอย่างยั่งยืน,https://thaipublica.org/2021/09/cpac-mou-ev-fleet/,28_09_2021
E-enforcement เครื่องมือใหม่ก.ล.ต. ตรวจสอบธุรกรรมตลาดทุนยุคดิจิทัล,การทำธุรกรรมทางการเงินและในตลาดทุนมีความซับซ้อนมากขึ้น ก.ล.ต. ได้วางแผนและพัฒนาการทำงานให้มีประสิทธิภาพยิ่งขึ้นมาอย่างต่อเนื่องเพื่อเท่าทันความเปลี่ยนแปลงและความท้าทายนั้นๆ โดยนำเทคโนโลยีมาใช้ (e-enforcement),https://thaipublica.org/2021/09/securities-exchange-commission-briefing-on-e-enforcement/,28_09_2021
รายงานธนาคารโลกชี้ โควิดระบาดยืดเยื้อเศรษฐกิจเอเชียตะวันออก-แปซิฟิกฟื้นตัวช้า,รายงานอัพเดทเศรษฐกิจเอเชียตะวันออกและแปซิฟิก (East Asia and Pacific Country Economic Updates) ประจำเดือนตุลาคม 2564 ของธนาคารโลก ระบุว่า การฟื้นตัวในภูมิภาคเอเชียตะวันออกและแปซิฟิกนั้นถูกบั่นทอนด้วยการแพร่ระบาดของโควิด-19 สายพันธุ์เดลต้า ทำให้ปัญหาความเดือดร้อนของภาคธุรกิจและครัวเรือนต่างๆ ต้องยืดเยื้อออกไป ซึ่งจะชะลอการเติบโตทางเศรษฐกิจและเพิ่มความเหลื่อมล้ำ,https://thaipublica.org/2021/09/world-bank-east-asia-pacific-economic-update-oct-2021/,28_09_2021
